2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_132428_1572376684.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_132466_1484496378.gif
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_138729_1580446823.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_142266_1522470654.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_18610_1580205637.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_56694_1587195759.gif
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_59597_1333207515.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_71080_1470752933.gif
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /avatar_88941_1391003862.jpeg
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /blank.png
2020-06-10 20:46:19: === User Changed Action from 'COPY_FILE_LTOR' to 'NO_COPY' on item /index.php
2020-06-10 20:46:19: Done.
2020-06-10 20:46:26: == Sync Started by User Command
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151226_1588750601.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151226_1588750601.jpeg' (3 155)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151264_1589104335.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151264_1589104335.jpeg' (2 340)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151373_1590348272.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151373_1590348272.jpeg' (2 708)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151379_1590144610.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151379_1590144610.jpeg' (2 800)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151410_1590418773.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151410_1590418773.jpeg' (2 967)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151439_1590657518.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151439_1590657518.jpeg' (2 255)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151497_1591285943.jpg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151497_1591285943.jpg' (1 947)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_151552_1591614797.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_151552_1591614797.jpeg' (3 720)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_18610_1589907060.gif' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_18610_1589907060.gif' (48 003)
2020-06-10 20:46:27: Скопировано поверх 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_47204.jpeg' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_47204.jpeg' (2 413)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_56694_1588437529.gif' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_56694_1588437529.gif' (10 248)
2020-06-10 20:46:27: Скопирован новый 'G:/_prgs/woodtools-copy-from-sity/UploadedAvatars/avatar_71080_1590333223.gif' -> 'Y:/OSPanel5-3-5/domains/wt0610/UploadedAvatars/avatar_71080_1590333223.gif' (3 971)
2020-06-10 20:46:27: ===== Синхронизация завершена. Время 00:00:01, Скорость: 0.00/s файлов/сек =====, Синхронизировано: 5 542, Ошибок: 0
2020-06-10 20:46:27: 
